Node, Weight
Node 1:,2.5522254169674046E-4,
Node 2:,0.23850394785943452,
Node 3:,3.9647033656822536E-5,
Node 4:,3.9618381530759066E-5,
Node 5:,3.961913484836578E-5,
Node 6:,0.0017023458760390747,
Node 7:,1.3466294061054854E-6,
Node 8:,9.666641293566811E-4,
Node 9:,5.031408760390631E-4,
Node 10:,5.414133760390631E-4,
Node 11:,0.49155863694249247,
Node 12:,-0.4779818147192949,
Node 13:,0.14357459016538843,
Node 14:,-0.8176747261852284,
Node 15:,0.6541445756176949,
Node 16:,-0.9573664689062977,
Node 17:,-0.6770524451218822,
Node 18:,-0.7168050089099411,
Node 19:,0.4618751942389008,
Node 20:,-0.8387781035118429,
Node 21:,0.2443306892110415,
Node 22:,0.2597406397470299,
Node 23:,0.8377703396212384,
Node 24:,0.10009927991470557,
Node 25:,-0.7367474314240301,
Node 26:,0.9319105410131547,
Node 27:,-0.7592141388474736,
Node 28:,0.6583737011809818,
Node 29:,0.278644213527663,
Node 30:,0.63032462727151,
Node 31:,0.271738306616907,
Node 32:,-0.5863764969333356,
Node 33:,0.7328510651343707,
Node 34:,-0.4837071876869674,
Node 35:,-0.5442170037727583,
Node 36:,-0.8982286160935096,
Node 37:,-0.9401902463440144,
Node 38:,0.4499537325441352,
Node 39:,-0.172741267343836,
Node 40:,-0.421068124682636,
Node 41:,-0.6067899863632409,
Node 42:,-0.8566761483468124,
Node 43:,0.9055354527350015,
Node 44:,-0.63001737718355,
Node 45:,0.5562437037682244,
Node 46:,0.37742683784067665,
Node 47:,-0.24484083327224737,
Node 48:,-0.9337065833737979,
Node 49:,-0.7098359937421799,
Node 50:,-0.5244662031641485,
Node 51:,-0.012852057999387378,
Node 52:,-0.4810257761243186,
Node 53:,-0.16488990767760292,
Node 54:,-0.17083050931278887,
Node 55:,0.47049875793174767,
Node 56:,0.9654296507134121,
Node 57:,-0.39957565479994783,
Node 58:,-0.7332210158108583,
Node 59:,0.08502261648164744,
Node 60:,0.453848405523837,
Node 61:,0.2176484132925527,
Node 62:,0.6902784913834419,
Node 63:,-0.9365728179932955,
Node 64:,-0.04217246120832696,
Node 65:,0.9075340291128027,
Node 66:,0.5793129374349748,
Node 67:,0.829766096365548,
Node 68:,-0.792332819090259,
Node 69:,0.45021893501047594,
Node 70:,-0.9130089027742045,
Node 71:,0.3531138182353335,
Node 72:,0.7529144356695879,
Node 73:,0.33171027910840173,
Node 74:,0.5067102791078526,
Node 75:,0.5067102791079033,
Node 76:,0.506710279107902,
Node 77:,0.5067102791078539,
Node 78:,0.5067102791079195,
Node 79:,0.5067102791078526,
Node 80:,0.5067102512072001,
Node 81:,0.004700112726320135,
Node 82:,0.19499568718434795,
Node 83:,0.9474993206932576,
Node 84:,0.9469896685406265,
Node 85:,0.9474996895341014,
Node 86:,0.9474999686089742,
Node 87:,0.9473723935406264,
Node 88:,0.9474997825362766,
Node 89:,0.9474998755384515,
Node 90:,0.9474999965090776,
Node 91:,0.7323505006616978,
Node 92:,0.9435228125233103,
Node 93:,0.22018024045380113,
Node 94:,0.39519306632186696,
Node 95:,0.5702045412083064,
Node 96:,0.3952198857258371,
Node 97:,0.3951909945689055,
Node 98:,0.9202168077626919,
Node 99:,0.9202175024589718,
Node 100:,0.9202314511777767,
